Location,Lat,Lon,LWE_Depth_Median,LWE_Depth_SD,Date
,,,,,
Satamba - GUJ,23.172,73.34,-223.889642179975,172.475980317684,2002-04-17
Satamba - GUJ,23.172,73.34,-202.712978803731,95.0055892174885,2002-05-10
Satamba - GUJ,23.172,73.34,-62.5242485902692,72.1759237673892,2002-08-16
Satamba - GUJ,23.172,73.34,34.3687491361417,102.632207194047,2002-09-16
Satamba - GUJ,23.172,73.34,-46.747098071829,61.9977922423468,2002-10-16
Satamba - GUJ,23.172,73.34,-121.309612609995,62.9016628591651,2002-11-16
Satamba - GUJ,23.172,73.34,-111.185334106759,77.8767996113286,2002-12-16
Satamba - GUJ,23.172,73.34,-100.806885559215,97.0772669351994,2003-01-16
Satamba - GUJ,23.172,73.34,-235.636725541416,69.133122923378,2003-02-15
Satamba - GUJ,23.172,73.34,-252.168916815345,53.5480363885046,2003-03-16
Satamba - GUJ,23.172,73.34,-294.255250136634,48.9787416350094,2003-04-16
Satamba - GUJ,23.172,73.34,-306.484129100801,52.9507836136264,2003-05-11
Satamba - GUJ,23.172,73.34,-82.6913314914406,34.7131866041288,2003-07-16
Satamba - GUJ,23.172,73.34,110.377678841251,34.5137378479293,2003-08-16
Satamba - GUJ,23.172,73.34,188.874802677192,33.8731534622102,2003-09-16
Satamba - GUJ,23.172,73.34,232.994245091538,34.8475472995438,2003-10-16
Satamba - GUJ,23.172,73.34,86.920785128384,34.49313266399,2003-11-16
Satamba - GUJ,23.172,73.34,-2.84707402283884,34.2036265479161,2003-12-16
Satamba - GUJ,23.172,73.34,24.0614619653374,44.8427589760232,2004-01-07
Satamba - GUJ,23.172,73.34,-82.8066432389834,36.7420562832658,2004-02-17
Satamba - GUJ,23.172,73.34,-129.582751329573,34.072522916153,2004-03-16
Satamba - GUJ,23.172,73.34,-177.384926073722,34.7423101251197,2004-04-16
Satamba - GUJ,23.172,73.34,-178.58690205184,36.5847528724665,2004-05-16
Satamba - GUJ,23.172,73.34,-191.967267479622,36.9172380475345,2004-06-16
Satamba - GUJ,23.172,73.34,-202.332378538854,33.2368354838004,2004-07-16
Satamba - GUJ,23.172,73.34,105.305772151,36.7529383185311,2004-08-16
Satamba - GUJ,23.172,73.34,160.20451450481,39.740236701833,2004-09-16
Satamba - GUJ,23.172,73.34,172.61620184249,34.356973075312,2004-10-16
Satamba - GUJ,23.172,73.34,84.9871752886559,38.5457814877207,2004-11-16
Satamba - GUJ,23.172,73.34,16.9036605367936,39.1134619347223,2004-12-16
Satamba - GUJ,23.172,73.34,-50.1270886306209,35.601790799133,2005-01-16
Satamba - GUJ,23.172,73.34,-81.2115132581531,37.8085914439342,2005-02-15
Satamba - GUJ,23.172,73.34,-177.392626187092,38.5723935057944,2005-03-16
Satamba - GUJ,23.172,73.34,-245.704670577854,38.3382068796643,2005-04-16
Satamba - GUJ,23.172,73.34,-218.374709072872,39.6684668674239,2005-05-16
Satamba - GUJ,23.172,73.34,-219.479125701746,41.5974071825787,2005-06-16
Satamba - GUJ,23.172,73.34,-17.2638682709553,38.3937383073737,2005-07-16
Satamba - GUJ,23.172,73.34,81.4753259479265,37.5163847326185,2005-08-16
Satamba - GUJ,23.172,73.34,97.6542278049375,37.303541260066,2005-09-16
Satamba - GUJ,23.172,73.34,123.506870116008,36.774802416548,2005-10-16
Satamba - GUJ,23.172,73.34,50.9279648332491,36.8075515686876,2005-11-16
Satamba - GUJ,23.172,73.34,39.434289960129,51.2850838354425,2005-12-16
Satamba - GUJ,23.172,73.34,-44.516613434867,40.9887901452122,2006-01-16
Satamba - GUJ,23.172,73.34,-125.662965512544,40.3232994843056,2006-02-15
Satamba - GUJ,23.172,73.34,-215.336627089305,36.8145520939447,2006-03-16
Satamba - GUJ,23.172,73.34,-204.807708965452,36.9443979325349,2006-04-16
Satamba - GUJ,23.172,73.34,-229.87326266361,36.2049476034302,2006-05-16
Satamba - GUJ,23.172,73.34,-231.256626027164,41.6366366853418,2006-06-16
Satamba - GUJ,23.172,73.34,-93.1965959845567,39.5871961274505,2006-07-16
Satamba - GUJ,23.172,73.34,349.258555664418,35.3334898938022,2006-08-16
Satamba - GUJ,23.172,73.34,463.937228754442,38.6238580253516,2006-09-16
Satamba - GUJ,23.172,73.34,349.062509073635,37.5868159177863,2006-10-16
Satamba - GUJ,23.172,73.34,265.067037749787,36.209465152279,2006-11-16
Satamba - GUJ,23.172,73.34,200.246549637452,38.7861086114159,2006-12-16
Satamba - GUJ,23.172,73.34,154.314931704804,38.8353038657641,2007-01-16
Satamba - GUJ,23.172,73.34,33.9890702967713,38.0328949413504,2007-02-15
Satamba - GUJ,23.172,73.34,9.75842660109988,35.562640014623,2007-03-16
Satamba - GUJ,23.172,73.34,-27.329157604317,36.8285534189589,2007-04-16
Satamba - GUJ,23.172,73.34,-74.2451554103576,35.1123400024603,2007-05-16
Satamba - GUJ,23.172,73.34,-138.511988542572,36.2067430370241,2007-06-16
Satamba - GUJ,23.172,73.34,160.024114610741,35.3521072844058,2007-07-16
Satamba - GUJ,23.172,73.34,343.335153262769,39.8993313284912,2007-08-16
Satamba - GUJ,23.172,73.34,353.381569736272,39.7505983285061,2007-09-16
Satamba - GUJ,23.172,73.34,225.821066817355,41.5611100067584,2007-10-16
Satamba - GUJ,23.172,73.34,198.71908540975,42.0515016152331,2007-11-16
Satamba - GUJ,23.172,73.34,91.9278046623765,38.8101916251925,2007-12-16
Satamba - GUJ,23.172,73.34,78.51326959068,37.5032048284988,2008-01-16
Satamba - GUJ,23.172,73.34,-15.638841617395,42.1193623692105,2008-02-15
Satamba - GUJ,23.172,73.34,-41.3528099521296,37.8506890882264,2008-03-16
Satamba - GUJ,23.172,73.34,-115.726408363153,41.998885322393,2008-04-16
Satamba - GUJ,23.172,73.34,-118.06373135315,39.1135177426072,2008-05-16
Satamba - GUJ,23.172,73.34,-131.225976795098,36.3797650157267,2008-06-16
Satamba - GUJ,23.172,73.34,-55.2797584550921,37.7882398176455,2008-07-16
Satamba - GUJ,23.172,73.34,183.319982714121,36.9499603306323,2008-08-16
Satamba - GUJ,23.172,73.34,173.620767981681,36.886328481522,2008-09-16
Satamba - GUJ,23.172,73.34,116.749096781554,35.6346243329603,2008-10-16
Satamba - GUJ,23.172,73.34,54.5060999193525,40.1554336961013,2008-11-16
Satamba - GUJ,23.172,73.34,36.611300610181,39.0945443701636,2008-12-16
Satamba - GUJ,23.172,73.34,-14.45062638599,39.1753864171441,2009-01-16
Satamba - GUJ,23.172,73.34,-92.4364974322964,41.3118021647483,2009-02-15
Satamba - GUJ,23.172,73.34,-133.143804667491,41.6066513636893,2009-03-16
Satamba - GUJ,23.172,73.34,-197.743603746492,37.1873190006244,2009-04-16
Satamba - GUJ,23.172,73.34,-162.206772299863,36.4618291261107,2009-05-16
Satamba - GUJ,23.172,73.34,-215.385086749052,37.8404003051806,2009-06-16
