Location,Lat,Lon,Slope
Satamba - GUJ,23.172,73.34,-4.67987376072381
Yelaburga - KPL,15.617,76.012,3.10158435615017
Deolgaon Raja - MH,20.016,76.029,7.94495845466537
Haunsbhavi - RNR,14.567,75.358,4.29954446889776
Ascoli Satriano,41.197,15.535,-5.45617836458247
Brooks - OR - Oregon Western,45.104,-122.797,-2.04933085129964
Los Aquijes - El Rosario,-14.11214776,-75.67948107,1.38915340199121
Province Morropon - la Matanza District- Piura City,-5.23,-80.083,2.32456437092929
Odense,55.506,9.473,-5.76464097410503
Maribo,55.232,11.77,-4.37772566978319
Hazelton - ID - Idaho Magic Valley,42.555,-114.105,-2.34361789499738
Sant Agata Bolognese,44.656,11.127,-9.88676644165104
Nunhem,51.245,5.971,-6.0828140900203
La Grande - OR - Oregon NE,45.323,-117.974,3.59779601010868
Laingsburg,-33.198,20.857,2.97117256539054
Mendoza,-33.08,-68.475,-12.3278523454957
Parma - ID - Idaho Treasure Valley,43.659,-116.882,1.57963478841908
Terrebonne - OR - Oregon Central,44.353,-121.178,-1.96986914459333
San Juan,-31.683,-68.583,-8.34282541711031
Upington,-28.762,20.537,0.767060593199295
George - WA - Washington,47.089,-119.841,-3.71416418239393
Tasmania - Campbell Town,-38.831,140.783,2.92729364552246
Rakaia,-43.7727614,171.1196194,1.26314844266071
Khon Kaen,16.055,102.719,-11.8153593685071
Udon Thani,17.361,102.993,-2.12141178702558
Holtville-CA,32.89668615,-115.4562033,-10.8494655109455
