location,numRuns,meanVal_raw_C,meanVal_ratio_A,meanVal_ratio_B,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
,,,,,,,,,,,,,,
Satamba - GUJ,1,-41.4179493934526,0.355048683696889,0.26461024955507,0.0464951079447549,0.956300072833212,0.94027676620539,553.569490025122,0.08,120,0.85,-4.67987376072381,-4.97712368200913,1
Yelaburga - KPL,1,1782.74893182415,0.589778817615909,0.510324798896738,0.0516089320489724,0.990133897110641,0.051444679351656,497.137366357431,0.08,120,0.85,3.10158435615017,60.2897013887274,1
Yelaburga - KPL,2,1391.43436562644,0.582684304054526,0.503850754701212,0.0431076755521964,0.992615208773784,0.0539318578224101,497.087652620795,0.09108,119.925,0.847864375,3.10158435615017,57.509317894504,0.9996
Yelaburga - KPL,3,1081.19890254405,0.57548307272602,0.497279087795929,0.0359736336315144,0.995,0.0564190207482987,497.037943855533,0.10232343,119.850046875,0.845734115757812,3.10158435615017,54.9740905640178,0.99920016
Yelaburga - KPL,4,834.355568077981,0.56817353835612,0.490608348135725,0.0299869240027261,0.995,0.058906168129419,496.988240061148,0.1137327005925,119.775140595703,0.843609208791971,3.10158435615017,52.6529641061676,0.998800479936
Yelaburga - KPL,5,594.257502312392,0.554064691319395,0.478711397669825,0.0247890815422763,1,0.0640534335497425,501.958122461759,0.126576018107312,116.780762080811,0.839391162748011,3.10158435615017,48.4218282184912,0.97882447033728
Yelaburga - KPL,6,412.63273211794,0.539991006656204,0.466811665543003,0.0204488830878007,1,0.0692135671336169,506.977703686377,0.139740418559995,113.86124302879,0.835194206934271,3.10158435615017,44.8117975217569,0.959247980930534
Yelaburga - KPL,7,273.694549294659,0.525949520675999,0.454907651823006,0.0168248173783136,1,0.0743866010514509,512.047480723241,0.153233929023995,111.014711953071,0.8310182358996,3.10158435615017,41.6954708550926,0.940063021311924
Yelaburga - KPL,8,166.173338436506,0.511937306516028,0.442997848300194,0.0137987225108919,1,0.0795725675540796,517.167955530473,0.167064777249595,108.239344154244,0.826863144720102,3.10158435615017,38.9780605488475,0.921261760885685
Yelaburga - KPL,9,81.9975545363586,0.497951472000565,0.431080737983583,0.0112719332965947,1,0.0847714989729647,522.339635085778,0.181241396680835,105.533360550388,0.822728828996501,3.10158435615017,36.587584196657,0.902836525667971
Deolgaon Raja - MH,1,-131.926811302531,0.380242996368762,0.313481926499659,0.0491896987504268,0.87205146533238,0.652251608291637,584.451665666547,0.08,120,0.85,7.94495845466537,12.1808184965226,1
Haunsbhavi - RNR,1,37.3048547758761,0.462194313830697,0.392843780286742,0.0290624323151273,0.820386169735069,0.681185451279748,694.885797456968,0.08,120,0.85,4.29954446889776,6.31185598697121,1
Haunsbhavi - RNR,2,16.4100038737811,0.452263632811451,0.384822119155163,0.0240171309831313,0.827437135159407,0.687888414907947,701.834655431538,0.092,117,0.84575,4.29954446889776,6.25035162057951,0.98
Haunsbhavi - RNR,3,-2.58796262174781,0.442250937514655,0.376686895300757,0.0198043043709146,0.834505727997305,0.694608135945217,708.853001985853,0.1043,114.075,0.84152125,4.29954446889776,6.1898849817631,0.9604
Ascoli Satriano,1,2.71043548952922,0.493804468136826,0.433889745931139,0.0376952291679502,0.940786910790806,0.057265290222049,631.142360903941,0.08,120,0.85,-5.45617836458247,-95.2789786522668,1
Ascoli Satriano,2,-34.056068577854,0.48252178348832,0.424309620890648,0.0312255163552384,0.948138878067783,0.0624084534476041,637.45378451298,0.092,117,0.84575,-5.45617836458247,-87.4269119513317,0.98
Brooks - OR - Oregon Western,1,508.557526732922,0.630379324299194,0.506461290060676,0.00149003614813004,0.852244389027431,0.82356608478803,579.932384452584,0.08,120,0.85,-2.04933085129964,-2.48836236599896,1
