Location,Lat,Lon,Slope
CH_Hailar - Inner Mongolia,49.185011,119.8921719,1.63854226104119
CH_Yuyang District - Shaanxi,38.46621071,109.5119253,-12.255876060951
WA_Othello,46.77327571,-119.1491748,-2.21457271552925
AB_Taber,49.8291073,-112.1327137,3.84633108888682
AB_Scandia,50.26958052,-112.0562337,3.0231731695527
ID_Grand view,42.95086977,-115.8981439,-1.58997337966945
ID_Burley,42.56804061,-113.8542987,-2.50813495498953
MB_Portage la Prairie,49.95137816,-98.1919566,-0.0718906947428331
MB_Carberry,49.96627142,-99.39399256,1.00081992598071
WI_Spring Brook,44.79000502,-91.73534006,3.44853991563425
WI_Plover,44.20821803,-89.54366941,12.1610155802522
ME_Caribou,46.8504363,-67.87416395,10.0292110475997
NB_Florenceville,46.43951808,-67.6385017,8.66776651222559
CO_Bogota,4.832234135,-74.20071162,1.17381318523804
AR_Balcarce,-37.80117765,-58.5086255,-1.67676076649025
BR_Sao Domigos,-12.82637666,-45.82613838,-17.0608048148808
BR_Chapeco,-26.52657452,-52.2760719,3.15648236841194
BR_Araxa,-19.34633078,-47.52247243,-15.6950229578884
SA_Polokwane,-23.13046799,29.3119895,-1.13976397434781
SA_Rustenburg,-26.28178622,27.16308651,1.93575925003965
NL_Flevoland,52.51915558,5.721992217,-5.79217410371257
BE_Waterloo,50.61579047,4.630703435,-7.8490336429609
FR_Matouges,48.85441609,4.416818556,-6.51452754893139
FR_Betune,50.57716398,2.545413975,-8.38930215850573
GB_Norwich,52.71918621,1.158282432,-6.27732092153874
GB_Wombourne,52.61030459,-2.376383015,-3.8398902353733
PL_Strzelin,50.8794223,17.07407625,-4.21149186188393
IN_Idar Gujarat,23.86054213,73.12649321,-5.59917911501454
CH_Guyuan County,41.82162969,115.7992195,-5.39443778828919
AU_Penola,-37.52468998,140.7007432,1.93641481257971
AU_Ballarat,-37.47954914,143.9953196,2.15689767568988
NZ_Canterbury,-43.8133739,171.9212799,1.71793777723326
DE_Lower Saxony,52.88737751,9.138359657,-5.42373076713271
DE_Magdeburg,51.71347359,11.6816453,-5.20806372948167
SW_Lund,55.73787961,13.31650354,-1.3180666125748
SW_Lake Diefenbaker,51.01623319,-106.6300391,2.62722926124639
IN_Chindwara,22.13300045,79.21067543,8.88697523940661
TA_Tasmania,-41.24296197,146.1979435,2.65175554458344
CH_Datong District,46.31595905,124.6650037,5.18546624881509
IN_Jethi Gujarat,24.33348609,72.51537571,-2.63481436842403
IN_Indore Madhya Pradesh,22.93751146,75.78211496,-0.915096630695068
