Mandatory Information,,,,Optional Information,,,,,,,,,,,,,,,,,Unused Information,,,,
Username,Location_Name,Latitude,Longitude,Precipitation_annualAvg_mm,PotentialEvapotranspiration_annualAvg_mm,SurfaceWater_annualAvgFlows_km3,Groundwater_annualAvgRecharge_mm,SoilMoisture_annualAvg_pct,SurfaceWaterDiversion_Percent,SurfaceWaterDiversion_averageInCubicKM,CurrentStorageTrend_mm,Groundwater_Access,SoilMoisture_Access,DripIrrigation,OnsiteReservoirs,GrowMonth_Start,GrowMonth_End,PrimaryCrop,TotalAreaUnderCultivation_km2,Annual_Water_Needs_mm,OnsiteStorage_other,Location_Address,SecondaryCrop,SoilClass,Region
McCain-India,SHAHJAHANPUR,27.8753,79.9147,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,FARRUKHABAD,27.3826,79.584,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,HARDOI,27.3965,80.125,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,ALIGARH,27.8974,78.088,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,FIROZABAD,27.1592,78.3957,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,AGRA,27.1767,78.0081,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,MAINPURI,27.2282,79.0252,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,KANPUR NAGAR,26.4148,80.2321,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,HATHRAS,27.5981,78.0492,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,KANNAUJ,27.0514,79.9137,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,ETAWAH,26.7829,79.0277,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,BUDAUN,28.0311,79.1271,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,BARABANKI,26.9268,81.1834,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,MEERUT,28.9845,77.7064,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,ALLAHABAD(Prayagraj),25.4358,81.8463,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,MATHURA,27.4924,77.6737,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,JAUNPUR,25.7464,82.6837,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
McCain-India,ETAH,27.5625,78.6654,,,,,,,,,TRUE,TRUE,FALSE,FALSE,1,12,Table Grapes,,600,,,,,
