location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1,1,843.3071605,0.049642189,0.55006502,0.044646727,563.2038977,0.08,120,0.85,1.638542261,36.70016501,1,,,,,,,,
1,2,552.0175058,0.041201228,0.556440182,0.049758344,568.8359366,0.092,117,0.84575,1.638542261,32.92999975,0.95,,,,,,,,
1,3,340.2203875,0.034153025,0.562831283,0.05488274,574.524296,0.1043,114.075,0.84152125,1.638542261,29.85532902,0.9025,,,,,,,,
1,4,183.5704826,0.028267776,0.569238361,0.060019947,580.269539,0.1169075,111.223125,0.837313644,1.638542261,27.29996187,0.857375,,,,,,,,
1,5,65.9620979,0.023353593,0.575661457,0.065169997,586.0722343,0.129830188,108.4425469,0.833127076,1.638542261,25.1425862,0.81450625,,,,,,,,
2,1,453.7206674,0.059361044,0.162655971,0.014705882,535.3322609,0.08,120,0.85,-12.25587606,-833.3995721,1,,,,,,,,
2,2,201.3919677,0.049316471,0.168062611,0.019742647,540.6855835,0.092,117,0.84575,-12.25587606,-620.7818042,0.95,,,,,,,,
2,3,59.9522791,0.040929254,0.173482768,0.024792004,546.0924393,0.1043,114.075,0.84152125,-12.25587606,-494.3479446,0.9025,,,,,,,,
2,4,-28.28236492,0.033925927,0.178916475,0.029853984,551.5533637,0.1169075,111.223125,0.837313644,-12.25587606,-410.5273249,0.857375,,,,,,,,
2,5,-87.49085963,0.028078149,0.184363766,0.034928619,557.0688973,0.129830188,108.4425469,0.833127076,-12.25587606,-350.8835029,0.81450625,,,,,,,,
2,6,-129.4960144,0.023195254,0.189824675,0.04001594,562.6395863,0.143075942,105.7314832,0.82896144,-12.25587606,-306.2748495,0.773780938,,,,,,,,
2,7,-160.7049955,0.019118037,0.195299237,0.04511598,568.2659822,0.156652841,103.0881961,0.824816633,-12.25587606,-271.6526616,0.735091891,,,,,,,,
2,8,-184.8539999,0.015713561,0.200787485,0.05022877,573.948642,0.170569162,100.5109912,0.82069255,-12.25587606,-244.0011185,0.698337296,,,,,,,,
