location,numRuns,meanVal,streamflowRechargeScalar,thisFrcAreaUnderCult,thisFrcCultAreaWthIrr,thisWplant,runoffRatio,initialSoilMoisture,effectiveIrrigationRatio,recentHistoricSlope,rescaledRecentHistoricSlope,rechScalar
,,,,,,,,,,,,
1,1,843.307160508082,0.0496421890345723,0.550065019505852,0.044646727351539,563.203897650613,0.08,120,0.85,1.63854226104119,36.7001650118642,1
1,2,551.863220181124,0.0412012278438679,0.556440182054617,0.0497583441699179,568.835936627119,0.092,117,0.84575,1.63854226104119,32.9299997493043,0.98
1,3,339.922616235839,0.0341530252496297,0.562831282509753,0.0548827400303426,574.52429599339,0.1043,114.075,0.84152125,1.63854226104119,29.8553290184729,0.9604
1,4,183.139423955829,0.0282677760834408,0.569238360716027,0.0600199468804185,580.269538953324,0.1169075,111.223125,0.83731364375,1.63854226104119,27.299961866107,0.941192
1,5,65.4073797243259,0.023353593029673,0.575661456617817,0.0651699967476195,586.072234342858,0.1298301875,108.442546875,0.83312707553125,1.63854226104119,25.142586202462,0.92236816
2,1,453.72066744642,0.0593610435786814,0.162655971479501,0.014705882352941,535.332260852712,0.08,120,0.85,-12.255876060951,-833.399572144678,1
2,2,201.044852999989,0.049316471388199,0.1680626114082,0.0197426470588234,540.685583461239,0.092,117,0.84575,-12.255876060951,-620.7818042046,0.98
2,3,59.2823477942487,0.0409292536091462,0.17348276793672,0.0247920036764704,546.092439295852,0.1043,114.075,0.84152125,-12.255876060951,-494.347944639215,0.9604
2,4,-29.2521685827417,0.033925926763637,0.178916474856562,0.0298539836856616,551.55336368881,0.1169075,111.223125,0.83731364375,-12.255876060951,-410.527324929078,0.941192
2,5,-88.7388746496203,0.0280781488476369,0.184363766043703,0.0349286186448757,557.068897325698,0.1298301875,108.442546875,0.83312707553125,-12.255876060951,-350.883502882214,0.92236816
2,6,-131.001796181898,0.0231952542877768,0.189824675458813,0.0400159401914879,562.639586298955,0.1430759421875,105.731483203125,0.828961440153594,-12.255876060951,-306.274849530039,0.9039207968
